Tanggal Mencari Augmentasi Terbaik	No. Skenario 	Split data set 	Jumlah input Citra moler 	slabung 	ulat_grayak 	Distribusi Bbox per kelas train moler 	slabung 	ulat_grayak 	val moler 	slabung 	ulat_grayak 	test moler 	slabung 	ulat_grayak 	Hyperparameter Resolusi 	Epoch 	Batch_Size 	Learning_Rate  	Optimizer 	Loss_Function 	backbond 	Kernel_Size 	Augmentasi 	TRANSFORMER_LAYERS 	TRANSFORMER_HEADS 	TRANSFORMER_FF_DIM 	TRANSFORMER_DROPOUT 	WEIGHT_DECAY 	 Average Accuration Multi Kelas Train 	Val 	Test 	Precision Macro - Multi Kelas Train 	Val 	Test 	Recall Macro - Multi Kelas Train 	Val 	Test 	F1-Score Macro Multi Kelas Train 	Val 	Test 	mAP0.5 Train 	Val 	Test 	mAP50:95 Train 	Val 	Test 	Accuration Multi Kelas  train moler 	slabung 	ulat_grayak 	Global 	val moler 	slabung 	ulat_grayak 	Global 	 ==> test <== moler 	slabung 	ulat_grayak 	Global 	Epoch Best - Data Val 	Best_Loss Train Train_Loss 	Bbox loss 	Clasification loss 	Objectness loss 	Val  Val_Loss 	Bbox loss 	Clasification loss 	Objectness loss 	Final Train_Loss 	Val_Loss 	Waktu Total 	Link Drive 	CATATAN 	
25-Apr-2026	run_20260424_192249_320_aug	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	320x320	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	True (Repeat=2)	3	4	512	0.2	0.01	0.8182	0.6657	0.6756	0.9872	0.9620	0.8698	0.8270	0.7162	0.7277	0.8987	0.7921	0.7924	0.8627	0.4925	0.4767	0.5484	0.2351	0.1941	0.8949	0.9594	0.9641	0.8182	0.8322	0.9148	0.9122	0.6657	0.8539	0.9087	0.8834	0.6756	37	0.8664	0.2911	0.2156	0.7837	2.2582	0.5864	0.7997	0.8704	0.8911	3.1191	84m 58s			
25-Apr-2026	run_20260425_115258_384_lama	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	384x384	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.9030	0.6299	0.6085	1.0000	0.9444	0.9284	0.9030	0.6880	0.6278	0.9490	0.7634	0.7491	0.9541	0.3985	0.4108	0.8992	0.1785	0.1826	0.9360	0.9823	0.9855	0.9030	0.8188	0.9143	0.8932	0.6299	0.8182	0.9238	0.8504	0.6085	21	0.2557	0.0775	0.0008	0.7062	2.5591	0.6229	0.9298	0.8135	0.2557	9.7385	42m 17s			
25-Apr-2026	run_20260425_133049_256_lama	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	256x256	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.8598	0.6025	0.4868	1.0000	0.9685	0.9220	0.8598	0.6634	0.5008	0.9246	0.7449	0.6490	0.9105	0.3153	0.3220	0.8469	0.1316	0.1303	0.9134	0.9827	0.9656	0.8598	0.8215	0.9015	0.8769	0.6025	0.7750	0.9000	0.7985	0.4868	10	0.3274	0.0968	0.0010	0.9125	2.9284	0.8541	0.9923	1.0375	0.3274	12.1339	32m 06s			
25-Apr-2026	run_20260425_145221_320	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	320x320	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.8886	0.6114	0.6211	1.0000	0.9373	0.8790	0.8886	0.6857	0.6596	0.9410	0.7492	0.7537	0.9415	0.3699	0.3774	0.8800	0.1564	0.1548	0.9281	0.9829	0.9796	0.8886	0.8224	0.9078	0.8870	0.6114	0.8319	0.8960	0.8661	0.6211	9	0.2859	0.0863	0.0008	0.7893	2.6774	0.7038	0.9613	0.8963	0.2859	11.0987	35m 40s			
25-Apr-2026	run_20260425_172406_512	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	512x512	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.9161	0.6785	0.6774	1.0000	0.9447	0.8350	0.9163	0.7600	0.7655	0.9562	0.8008	0.7987	0.9695	0.4651	0.4685	0.9116	0.2247	0.1986	0.9428	0.9864	0.9898	0.9161	0.8382	0.9118	0.9163	0.6785	0.8608	0.9237	0.8742	0.6774	20	0.2261	0.0730	0.0007	0.6064	1.9741	0.4681	0.7277	0.6732	0.2261	7.4245	57m 45s			
25-Apr-2026	run_20260425_191545_640	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	640x640	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.9182	0.6786	0.6852	0.9998	0.9003	0.8667	0.9187	0.7868	0.7474	0.9573	0.7989	0.8026	0.9695	0.4960	0.4991	0.9075	0.2369	0.2351	0.9420	0.9866	0.9923	0.9182	0.8401	0.9135	0.9226	0.6786	0.8544	0.9196	0.8890	0.6852	23	0.2175	0.0743	0.0009	0.5662	1.7312	0.4269	0.6218	0.6245	0.2175	6.0187	86m 54s			
25-Apr-2026	run_20260425_215245_384	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	384x384	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.9033	0.6239	0.6246	1.0000	0.9193	0.8855	0.9034	0.7013	0.6672	0.9492	0.7576	0.7610	0.9559	0.4052	0.4250	0.9010	0.1797	0.1862	0.9344	0.9845	0.9855	0.9033	0.8189	0.9056	0.8894	0.6239	0.8329	0.9207	0.8541	0.6246	10	0.2549	0.0774	0.0006	0.7054	2.6340	0.6189	0.9922	0.8138	0.2567	9.8158	40m 27s			
26-Apr-2026	run_20260425_232154_256	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	256x256	50	6	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.8607	0.6060	0.5395	1.0000	0.9455	0.9202	0.8607	0.6649	0.5582	0.9251	0.7446	0.6949	0.9091	0.3083	0.2846	0.8462	0.1338	0.1150	0.9136	0.9825	0.9656	0.8607	0.8118	0.9031	0.8741	0.6060	0.7968	0.9020	0.8275	0.5395	6	0.3253	0.0964	0.0009	0.9091	2.9458	0.8316	0.9960	1.0333	0.3253	11.9587	76m 38s			
26-Apr-2026	run_20260426_004102_4	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	640x640	50	4	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.9179	0.6759	0.7103	0.9998	0.9034	0.8655	0.9204	0.7637	0.7791	0.9571	0.7974	0.8201	0.9690	0.4893	0.5006	0.9057	0.2368	0.2257	0.9437	0.9862	0.9902	0.9179	0.8393	0.9133	0.9202	0.6759	0.8662	0.9228	0.8993	0.7103	33	0.2150	0.0719	0.0010	0.5646	1.6896	0.4214	0.6053	0.6268	0.2150	6.1143	145m 23s			
26-Apr-2026	run_20260426_041003_8	70/20/10	1000	1000	1000	2135	1307	1467	606	362	378	250	188	223	640x640	50	8	0.0002	AdamW	AnchorFreeLoss (GIoU + Focal)	resnet18	3x3	False (Repeat=1)	3	4	512	0.2	0.01	0.9212	0.6831	0.6990	1.0000	0.9116	0.8690	0.9220	0.7845	0.7625	0.9590	0.8031	0.8122	0.9691	0.5069	0.4831	0.9032	0.2369	0.2198	0.9458	0.9867	0.9910	0.9212	0.8412	0.9125	0.9279	0.6831	0.8585	0.9154	0.9029	0.6990	11	0.2219	0.0784	0.0009	0.5656	1.7632	0.4319	0.6176	0.6315	0.2219	5.5795	142m 49s			
